Nr   Towers    Disks
0     7          4
1     8          2
2     4          6
3     9          5
4     4          2
5     9          4
6     3          3
7     7          6
8     4          5
9     4          5
10     5          6
11     4          2
12     5          5
13     6          2
14     7          5
15     9          2
16     8          9
17     4          6
18     4          5
19     9          4
20     4          2
21     6          8
22     5          3
23     9          6
24     7          6
25     8          9
26     5          8
27     9          8
28     5          9
29     6          4
30     4          8
31     9          6
32     5          5
33     3          5
34     7          5
35     6          5
36     9          8
37     4          6
38     9          3
39     9          2
40     4          8
41     5          5
42     5          8
43     9          3
44     5          2
45     8          2
46     9          9
47     7          7
48     9          3
49     9          6
50     6          7
51     4          9
52     7          3
53     3          5
54     8          4
55     5          3
56     6          5
57     5          8
58     7          6
59     4          3
60     8          4
61     6          5
62     7          3
63     3          4
64     7          3
65     6          4
66     6          3
67     9          6
68     4          6
69     7          2
70     6          9
71     4          7
72     8          6
73     8          4
74     5          3
75     9          6
76     9          5
77     5          5
78     5          7
79     9          5
80     4          9
81     7          8
82     9          9
83     9          7
84     5          5
85     7          7
86     4          3
87     5          6
88     3          5
89     7          7
90     7          2
91     9          3
92     7          9
93     4          2
94     7          7
95     9          5
96     3          2
97     4          3
98     4          5
99     6          3
